validation error for  0.010000 learning rate, 300 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000000 L1, 0.000000 L2 is 15.751366 % 
validation error for  0.010000 learning rate, 300 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000000 L1, 0.000100 L2 is 15.765027 % 
validation error for  0.010000 learning rate, 300 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000100 L1, 0.000000 L2 is 16.229508 % 
validation error for  0.010000 learning rate, 300 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000100 L1, 0.000100 L2 is 16.024590 % 
validation error for  0.010000 learning rate, 350 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000000 L1, 0.000000 L2 is 15.573770 % 
validation error for  0.010000 learning rate, 350 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000000 L1, 0.000100 L2 is 15.327869 % 
validation error for  0.010000 learning rate, 350 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000100 L1, 0.000000 L2 is 15.928962 % 
validation error for  0.010000 learning rate, 350 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000100 L1, 0.000100 L2 is 15.478142 % 
validation error for  0.010000 learning rate, 400 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000000 L1, 0.000000 L2 is 15.532787 % 
validation error for  0.010000 learning rate, 400 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000000 L1, 0.000100 L2 is 15.218579 % 
validation error for  0.010000 learning rate, 400 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000100 L1, 0.000000 L2 is 16.325137 % 
validation error for  0.010000 learning rate, 400 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000100 L1, 0.000100 L2 is 16.434426 % 
validation error for  0.010000 learning rate, 450 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000000 L1, 0.000000 L2 is 15.273224 % 
validation error for  0.010000 learning rate, 450 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000000 L1, 0.000100 L2 is 14.849727 % 
validation error for  0.010000 learning rate, 450 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000100 L1, 0.000000 L2 is 18.087432 % 
validation error for  0.010000 learning rate, 450 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000100 L1, 0.000100 L2 is 19.207650 % 
validation error for  0.010000 learning rate, 500 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000000 L1, 0.000000 L2 is 14.644809 % 
validation error for  0.010000 learning rate, 500 n_hidden, Elemwise{tanh,no_inplace} activation , 10000 patience, 0.000000 L1, 0.000100 L2 is 14.521858 % 
